# id	left	top	right	bottom	texture_id
[SPRITES]
#x=263, y =391, 48x48
100001	240	368	287	415	30
#x=299, y=375, 56x80
100002	272	336	327	415	30
#x=439, y=391, 80x48
100003	400	368	479	415	30
#x=495, y=375, 64x80
100004	464	336	527	415	30
#x=559, y=399, 96x32
100005	512	384	607	415	30
#x=543, y=359, 64x112
100006	512	304	575	415	30
#x=1319, y=400, 112x32
100007	1264	384	1375	415	30
#x=1351, y=382, 112x64
100008	1296	351	1407	414	30
#x=1383, y=367, 112x96
100009	1328	320	1439	415	30
#48x48 x= 3000, y=391
100010	2144	368	2191	415	30
#48x144 x= 3070, y=333
100011	2176	272	2223	415	30
