# id	left	top	right	bottom	texture_id
[SPRITES]
#trees x=79, y =383, 128x64
200001	16	352	143	415	30
#flowers x=183, y=407, 48x16
200002	160	400	207	415	30
#cloud x=143, y=283  48x24
200003	120	273	167	296	30
#cloud x=343, y=268, 32x24
200004	328	257	359	280	30	
#flowers x=719, y=391, 96x16
200005	672	384	767	399	30
#trees x=931, y =367, 192x66, another coordinates to fit scene
200006	816	335	1007	400	30
#flowers x=1055, y=390, 32x16
200007	1040	383	1071	398	30
#cloud x=646, y=270, 150x66
200008	646	270	795	335	30	
#cloud 66x24
200009	1655	272	1720	295	30
#trees x=2000, y =383, 64x48
200010	1889	368	1951	415	30
#trees x=79, y =351, 96x130
200011	2368	287	2463	416	30
#640x42
200012	1347	13	1986	54	30
#40x50
200014	1486	62	1525	111	30
#140x72
200015	1612	22	1751	93	30
#346x414
200016	2470	2	2815	415	30
